S#,Date,Islamic Date,Blast Day Type,Holiday Type,Time,City,Latitude,Longitude,Province,Location,Location Category,Location Sensitivity,Open/Closed Space,Influencing Event/Event,Target Type,Targeted Sect if any,Killed Min,Killed Max,Injured Min,Injured Max,No. of Suicide Blasts,Hospital Names,Temperature(C),Temperature(F),Explosive Weight (max kg)
1,11/19/1995,25 Jumaada al-THaany 1416 A.H,Holiday,Weekend,,Islamabad,33.718,73.0718,Capital,Egyptian Embassy,Foreigner,High,Closed,,Foreigner,,14,15,,60,2,,15.84,60.5,
2,11/6/2000,10 SHa`baan 1421 A.H,Working Day,,,Karachi,24.9918,66.9911,Sindh,office of Nawa-e-Waqt,Office Building,Low,Closed,,Media,,,3,,3,1,,23.77,74.79,
3,5/8/2002,25 safar 1423 A.H,Working Day,,7:45 AM,Karachi,24.9918,66.9911,Sindh,Pakistan Navy bus Parked outside Five Star Sheraton Hotel,Hotel,Medium,Closed,,Foreigner,Christian,13,15,20,40,1,1.Jinnah Postgraduate Medical Center 2. Civil Hospital Karachi 3. PN Shifa,31.46,88.63,2.5
4,6/14/2002,3 Raby` al-THaany 1423 A.H,Working Day,,11:10 AM,Karachi,24.9918,66.9911,Sindh,US Consulate Civil Lines Area,Foreigner,High,Closed,,Foreigner,Christian,,12,,51,1,,31.43,88.57,
5,7/4/2003,4 Jumaada al-awal 1424 A.H,Working Day,,,Quetta,30.2095,67.0182,Balochistan,Imambargah MeCongy Road Quetta,Religious,Medium,Closed,during Friday prayer,Religious,Shia,44,47,,65,1,1.CMH Quetta ; 2.Civil Hospital 3. Boland Medical Complex,33.12,91.62,
6,12/25/2003,2 Thw al-Qi`dah 1424 A.H.,Holiday,Christmas/Birthday Of Quaid-E-Azam,1:40 PM,Rawalpindi,33.6058,73.0437,Punjab,Jhanda Chichi area rawalpindi,Security Forces,Low,Open,president's/chief of army staff convoy passing from there,Military,,16,18,,50,2,1.District headquarters ; Hospital,9.44,49,30
7,2/28/2004,8 MuHarram 1425 A.H,Working Day,,,Rawalpindi,33.6058,73.0437,Punjab,Yadgar-i-Hussaini in Satellite Town,Religious,Medium,Closed,maghrib prayer was in process,Religious,Shia,,1,3,4,1,,15.28,59.5,
8,5/7/2004,18 Raby` al-awal 1425 A.H,Working Day,,1:20,Karachi,24.9918,66.9911,Sindh,Karachi Shia mosque Sindh Madrassatul Islam,Religious,Medium,Closed,Friday prayer was in progress,Religious,Shia,14,15,96,200,1,Civil hospital,33.86,92.95,2
9,5/31/2004,,Working Day,,Evening,Karachi,24.9918,66.9911,Sindh,Imambargah off M.A Jinnah road near Numaish intersection,Religious,Medium,Closed,,Religious,Shia,16,18,,35,1,Civil hospital-Liaquat National hospital-Jinnah Postgraduate Medical Center,31.6,88.89,
10,6/3/2004,15 Raby` al-THaany 1425 A.H,Working Day,,,North Waziristan,32.9746,70.1456,FATA,checkpost in north waziristan-close to Afghanistan border,Military,High,Open,,Military,,,2,,2,1,,27.18,80.92,
11,7/28/2004,11 Jumaada al-THaany 1425 A.H,Working Day,,8:50 PM,Kohat,33.5833,71.4333,KPK,Near military facility/official Residence of General Officer Commanding,Residence,High,Closed,Army,Military,,2,3,,3,2,CMH Kohat,32.43,90.37,
12,7/30/2004,13 Jumaada al-THaany 1425 A.H,Working Day,,7:20 PM,Attock,33.7645,72.3667,Punjab,Mr Aziz election rally in jaffar village in fateh jang,Park/Ground,Low,Open,Election rally,Government Official,,,7,44,70,1,1.District Headquarters hospital-rwp 2.PIMS Hospital 3. Tehsil headquarters hospital-Fateh Jang,26.66,80,
13,10/1/2004,17 SHa`baan 1425 A.H,Working Day,,1:27 PM,Sialkot,32.4972,74.5361,Punjab,zainabia mosque-just a Km away from city police station on Raja road,Religious,Medium,Closed,Friday prayer,Religious,Shia,25,31,50,75,1,Allama Iqbal Memorial DHQ Hospital-Sardar Begum Hospital-and numner of other hospitals in Sialkot-Daska-Gujranwala and Lahore,27.51,81.52,
